,key,count
2802,伤者,9
1312,余万,9
2208,找到,9
416,一年,9
1391,以为,9
1368,当街,9
71,两年,9
2330,局长,9
5107,致死,9
2454,赌博,9
4131,厂房,9
800,双双,9
1228,人民,9
2488,内蒙古,9
9,广告,9
2498,偷偷,9
1652,成都,9
1128,消防,9
4673,不幸身亡,9
767,商家,9
1760,成功,9
4425,有关,9
2807,经营,9
3186,怀孕,9
403,回应,9
2965,交易,9
4062,可怕,9
4310,喝酒,9
1285,投资,9
1803,广州,9
1263,山东,9
1837,连续,9
1289,杭州,9
283,超标,9
564,安全,9
557,不是,9
27,南通,9
411,浦口,9
269,法官,9
101,废品,9
1466,法国,9
3193,桂林,8
2565,石家庄,8
623,万余元,8
4133,大楼,8
790,汉中,8
213,致人,8
4322,已致,8
2460,泄露,8
1201,博客,8
347,公开,8
1424,大连,8
596,渭南,8
3070,地方,8
65,书记,8
3210,保护,8
626,情况,8
627,公布,8
2762,上路,8
7323,冲突,8
1487,路口,8
273,猝死,8
1213,关注,8
3481,幌子,8
1208,社区,8
1216,案一审,8
7294,私吞,8
2895,扶贫,8
7173,袭警,8
1417,焚烧,8
34,国际,8
4529,公交车,8
720,死刑,8
2702,消防车,8
1513,华律,8
3377,潜逃,8
736,居然,8
2809,环卫工,8
744,电信,8
820,敛财,8
2415,机场,8
1299,内幕,8
866,大家,8
413,扰民,8
1713,通过,8
1970,乱收费,8
6655,打着,8
1051,男童,8
881,政府,8
354,买卖,8
2209,护栏,8
6522,挪用,8
3828,福建,8
5301,强奸,8
1251,男生,8
4085,失火,8
3641,公民,8
404,路边,8
181,袭击,8
1895,真是,8
949,国家,8
2082,消费,8
1883,电梯,8
1800,厦门,8
1720,惊险,8
6554,血汗钱,8
1830,半夜,8
1602,进行,8
1746,已有,8
3546,管理,8
5178,纪委,8
2340,不满,8
1757,重伤,7
1949,为什么,7
1170,首例,7
675,信号,7
1948,瞒报,7
1771,滑坡,7
2821,东西,7
2812,不敢,7
641,金额,7
1589,中华,7
639,诈骗案,7
2957,云南,7
4243,校车,7
1818,到底,7
4250,人数,7
1819,欺骗,7
3045,一车,7
1030,巨额,7
1809,村干部,7
1004,第一,7
1898,洛阳,7
32,爆料,7
123,娱乐,7
1792,教师,7
127,官方,7
984,还要,7
1933,联合,7
628,今早,7
1754,火车,7
977,人民检察院,7
1453,财经,7
1717,凶手,7
4417,百万,7
1123,多地,7
774,骗局,7
218,乱象,7
2530,工程,7
2515,煤矿,7
2247,至今,7
2253,频道,7
863,传播,7
1632,凤凰网,7
1621,女人,7
933,综合,7
1574,现金,7
1617,东方,7
1577,小偷,7
854,撞伤,7
847,收废,7
1103,部分,7
3097,支付,7
2395,消防通道,7
2227,大道,7
2222,逃跑,7
1553,大学生,7
1547,杀人案,7
2732,资金,7
6591,坑害,7
2717,人员,7
2389,恶势力,7
6603,收受,7
921,耳光,7
710,制造,7
154,大桥,7
7106,深度,7
2152,性侵,7
1085,求助,7
4573,车子,7
734,立案,7
735,怎么办,7
5370,廊坊,7
2189,赶紧,7
169,奇葩,7
25,恶劣,7
4930,消费者,7
4078,天气,7
3308,千万,7
366,抢劫,7
1292,嚣张,7
3439,余万元,7
570,爆发,7
3396,民宅,7
1247,一大,7
417,停车,7
21,夜间,7
14,央视,7
3423,两人,7
472,公交,7
309,看到,7
539,持续,7
1309,免费,7
3655,多万,7
1256,打架,7
561,教练,7
560,撞死人,7
1255,直播,7
1324,使用,7
310,及时,7
3566,暴雨,7
485,两次,7
526,病毒,7
1401,游戏,7
4016,遇难,7
4014,不慎,7
348,财产,7
509,公诉,7
4048,车上,7
1253,吵架,7
3456,驾照,7
373,产品,7
3387,震惊,7
393,行为,7
4137,澳大利亚,6
1571,快讯,6
2436,人生,6
1373,老太,6
1582,老公,6
6915,索贿,6
3435,整栋,6
1364,离婚,6
2509,失败,6
3484,获利,6
4031,武汉,6
2503,少女,6
2479,赌场,6
1422,处置,6
3409,二手车,6
1129,救援,6
4156,镇政府,6
3336,精准,6
1150,店铺,6
1147,刑事拘留,6
8116,英文,6
4587,印度,6
516,成员,6
16,如东,6
2669,推卸责任,6
1397,滨州,6
1531,只是,6
2600,命案,6
2595,如今,6
1545,白银,6
2577,扩散,6
1387,老赖,6
1556,毁容,6
337,贪污受贿,6
2564,起来,6
502,检察院,6
2561,不要,6
2560,补偿款,6
499,熟人,6
5026,噪音,6
8598,震源,6
2325,强行,6
943,水库,6
3779,济南,6
1770,山体,6
1779,四处,6
1990,哪里,6
1980,捣毁,6
5913,方向盘,6
981,逃犯,6
1046,老汉,6
6069,考试,6
3935,环境,6
1905,房产,6
1793,论坛,6
6160,悬赏,6
391,欺诈,6
1867,刺伤,6
1008,生命,6
1277,城市,6
1847,污水,6
1031,亏损,6
4017,天津,6
1822,华人,6
382,伤害,6
1274,农村,6
2040,分钟,6
2056,年轻,6
3543,造谣,6
938,挪用公款,6
848,炼金,6
2321,旅游,6
2306,后悔,6
1351,不料,6
2278,一直,6
2267,村霸,6
1096,补偿,6
5277,令人,6
7154,猖獗,6
1655,中心,6
177,中央,6
451,信用卡,6
4094,太原,6
3645,宾馆,6
442,多个,6
5396,集体,6
1078,两名,6
2122,分公司,6
2112,高速公路,6
5551,涉黑,6
5675,中介,6
4080,情侣,6
3746,安徽,6
